customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
5774-MQI,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,38.95,883.36,2,No
5135-TZU,Female,0,Yes,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),86.07,2401.58,2,No
6201-MPI,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),99.56,3692.91,2,No
1446-LLF,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.56,617.13,3,Yes
2234-GYC,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),42.53,126.98,1,No
5143-RPW,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.32,2501.13,0,No
1186-YHM,Female,0,No,No,18,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,85.42,1540.03,1,No
3032-EFS,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,114.89,6082.45,3,No
2881-NVD,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,118.3,2379.52,2,Yes
7139-GHY,Female,0,No,No,15,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,74.88,1121.39,0,Yes
2695-FFX,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,124.67,2107.85,4,Yes
9411-UCC,Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,99.36,3862.0,3,Yes
7901-BPV,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),103.17,112.63,1,No
7855-WHY,Male,1,No,No,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.5,1165.59,0,No
5482-LQE,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),129.52,4145.5,1,Yes
8869-TYI,Male,0,Yes,No,55,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,66.87,3671.59,4,No
5820-ZTG,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,88.32,6368.84,3,No
5478-VDM,Male,1,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),119.37,845.91,1,No
3985-RQT,Female,0,No,No,22,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),107.46,2365.42,1,No
3547-MQV,Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,117.97,2014.67,8,Yes
3979-AAO,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,104.47,2097.64,2,No
2996-QXZ,Female,0,No,Yes,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,95.68,184.09,1,No
6447-RMW,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),105.2,6534.33,1,No
9519-HZO,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,118.42,8517.33,3,No
5876-GEQ,Male,1,No,No,29,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.0,3164.64,0,No
9347-YPW,Male,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,114.63,929.88,2,Yes
1721-QGM,Female,0,No,Yes,39,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.91,4708.23,4,Yes
7751-RNR,Male,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.83,1249.27,2,No
3828-KUU,Female,0,Yes,No,22,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),64.9,1435.02,1,No
2647-WQH,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.7,553.62,3,Yes
7771-OIT,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),94.99,557.77,3,No
3761-LUW,Female,0,No,No,23,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,94.83,2166.43,6,No
8069-AYT,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.98,393.01,1,Yes
3696-VOA,Male,1,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),106.19,3504.95,4,No
3786-KBP,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,125.58,759.63,3,Yes
4871-OLA,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,117.52,7162.99,0,No
4308-NYY,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),106.43,6166.81,0,No
9263-LAK,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,125.68,1135.09,1,Yes
4303-JSK,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,99.83,290.67,4,Yes
8850-QAZ,Female,1,Yes,No,24,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,66.14,1593.76,1,No
9924-UUH,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,41.45,613.14,3,No
5485-VRF,Female,0,No,Yes,4,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),87.46,335.49,1,No
9100-MSV,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),114.58,2188.61,3,Yes
6831-IQC,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,49.56,3573.36,2,No
7999-QUS,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),117.63,243.65,3,Yes
2874-GQF,Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),130.63,1048.5,3,Yes
2051-BFW,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.79,1063.04,0,No
8538-TDV,Male,0,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),86.15,3436.06,3,No
7320-KDZ,Female,0,No,No,1,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.51,83.8,3,Yes
1307-ZQI,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),42.89,1425.51,1,No
2251-WNS,Male,0,No,No,4,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,108.12,438.68,2,Yes
6305-CNH,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,106.29,4787.19,2,No
5891-AJR,Female,1,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,42.87,1281.34,0,No
3863-HAL,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),86.68,1399.11,2,No
5567-PRD,Female,0,No,No,44,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),66.85,2930.69,1,No
5005-LIO,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.53,3153.03,0,No
1183-LXW,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.9,1544.1,3,No
7797-MYB,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.1,798.13,5,Yes
6698-ZXV,Male,1,No,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,99.17,2478.34,2,No
2096-ZTH,Male,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.02,159.31,4,Yes
9002-XEC,Female,0,No,No,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,98.14,4222.41,2,No
4354-PQO,Male,1,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.86,785.82,0,No
2186-LIU,Female,0,No,Yes,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,111.83,4925.89,1,No
7305-WRT,Female,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),47.04,271.48,2,No
8299-WPW,Female,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,117.2,453.86,1,Yes
7511-AVY,Female,0,No,No,30,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,108.23,3233.56,1,No
5765-CZU,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,126.47,252.71,3,Yes
6552-TVU,Female,1,No,Yes,7,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,86.31,591.86,2,Yes
7589-ATF,Male,0,No,Yes,60,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),68.3,4083.23,2,No
6884-OZZ,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.13,148.13,2,Yes
3925-TON,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,99.49,1183.31,2,No
8192-UXY,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,94.8,6817.69,4,No
3672-KPL,Male,1,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),93.12,85.41,0,No
9662-DRU,Male,0,Yes,No,15,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),54.98,815.06,0,No
5059-CVH,Female,0,No,No,39,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),62.35,2437.75,2,No
9383-CHR,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,103.77,6240.37,4,No
5440-TQH,Female,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,119.98,4065.02,6,Yes
7646-KEZ,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,50.18,2749.96,3,No
2716-WEX,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),134.49,133.95,2,No
5538-MFE,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.72,162.84,2,No
1584-PBA,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),82.45,2791.07,3,No
9551-SKL,Male,0,No,No,35,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),76.65,2691.76,2,No
5939-GZM,Female,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.48,1261.55,1,No
1890-HVZ,Female,0,Yes,No,33,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,104.17,3440.3,1,No
3504-GZU,Male,0,No,No,49,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,77.69,3792.21,1,No
2719-OBW,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,118.14,2349.9,1,Yes
7686-TYL,Female,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.28,2698.13,2,No
1896-WVH,Male,1,No,No,30,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),65.17,1962.57,0,No
3432-AYJ,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,116.52,1873.12,1,Yes
7837-JUO,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,127.65,1776.62,3,Yes
5117-FCM,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,136.4,4759.48,3,Yes
7845-OQQ,Female,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),87.64,2195.2,2,No
9848-FQP,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),118.3,5094.44,2,No
1589-MFC,Male,1,Yes,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),109.33,4167.33,1,Yes
7509-NOH,Female,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,109.82,2077.44,2,No
4580-MQU,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.09,7500.33,0,No
2015-CFE,Female,0,Yes,No,31,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),75.06,2315.01,3,No
8984-WYB,Female,0,No,Yes,6,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,94.35,571.13,4,No
7169-OEZ,Male,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.13,1033.11,1,No
5485-FRR,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.36,491.05,5,Yes
7928-YNN,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),112.72,2370.3,1,No
8566-SKO,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,119.79,4795.0,1,No
2003-CQC,Female,0,No,No,42,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,96.3,4036.06,3,No
2939-DCZ,Female,0,No,No,27,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,119.15,3221.7,2,No
2895-XQG,Female,1,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.48,1855.59,2,No
2073-ACD,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),116.2,1856.49,2,Yes
2956-POO,Male,1,Yes,Yes,20,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,87.67,1746.61,1,No
4907-HPP,Female,0,No,No,53,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,119.06,6316.34,1,No
5524-ZMB,Male,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.33,682.57,3,Yes
1757-HXO,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),42.23,470.2,2,Yes
4558-MBH,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),97.68,3909.82,1,No
7726-XLS,Male,0,No,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),84.15,159.26,2,Yes
5198-JYP,Male,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),109.31,7883.3,3,No
5066-JFR,Male,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,50.08,552.32,3,Yes
6316-UGB,Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),42.77,1058.5,4,No
5266-MWE,Male,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),116.54,3377.93,3,No
9069-XZN,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,49.32,190.59,3,Yes
7763-DWF,Male,1,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.11,1795.71,1,No
9479-JRO,Male,0,No,Yes,22,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,56.39,1237.36,2,No
2447-ZIE,Male,1,No,Yes,10,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),106.8,1082.66,2,No
3671-XCJ,Male,0,No,Yes,48,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),67.92,3274.02,2,No
4722-KQD,Female,0,No,Yes,25,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),107.49,2683.09,1,No
6054-DQI,Male,1,Yes,No,39,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,62.0,2408.53,2,No
1725-XFC,Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),114.36,8224.79,2,No
8701-ATV,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,76.77,320.9,8,Yes
3806-KMJ,Female,0,No,Yes,35,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,67.26,2348.08,4,No
6634-ILW,Male,0,No,No,36,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),88.58,3184.17,3,No
1224-RQI,Male,1,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,94.7,4925.32,2,No
2814-JSO,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),125.56,1749.0,3,No
3931-WYB,Male,0,Yes,No,51,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.66,4378.22,1,No
8415-POY,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),106.43,2773.62,3,No
2609-NJY,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.09,90.46,0,Yes
7782-IYN,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.56,41.16,2,Yes
9307-PBJ,Female,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,64.61,1092.63,2,Yes
6578-KUU,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),77.73,3029.26,1,No
8381-MGW,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.56,1542.88,5,Yes
4792-BLY,Female,0,No,No,48,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),86.58,4159.97,0,No
7197-KPQ,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.06,826.06,2,Yes
6874-RCU,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,109.34,110.2,1,Yes
9378-ZPF,Male,1,Yes,No,72,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,98.94,7121.47,3,No
5586-OOP,Male,1,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.55,818.45,4,Yes
3345-LMD,Female,0,No,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),85.09,2284.46,2,No
6877-BZO,Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,108.1,638.75,2,Yes
2902-WNH,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,77.49,696.69,1,No
3059-MKQ,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,94.61,1605.72,1,No
1464-XDU,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),97.84,4805.94,2,No
9711-EZP,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),130.58,381.27,4,Yes
3851-VOL,Male,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,104.77,3987.25,2,No
7543-NJG,Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.51,2171.34,1,No
7124-TEC,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),115.4,2066.65,0,No
4982-DON,Female,1,No,No,53,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),97.43,5170.79,0,No
6555-SMJ,Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),116.95,475.0,3,Yes
4092-EWT,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.74,3654.52,1,No
9476-TYF,Female,0,No,No,49,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.32,4659.49,3,No
5926-DBV,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.5,391.73,2,Yes
5319-PRE,Female,0,Yes,No,16,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,86.08,1378.0,6,No
4939-MSW,Male,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.65,53.55,2,Yes
2909-DVT,Female,0,No,No,19,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),119.47,2272.56,3,Yes
1931-IGS,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.52,756.42,1,No
7382-OYT,Female,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,129.48,8558.69,1,No
2032-DRR,Female,0,Yes,No,13,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,109.91,1419.26,4,Yes
7781-KEV,Male,0,Yes,No,22,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),96.99,2134.77,2,No
2859-LBM,Male,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.26,2870.75,3,Yes
6929-IJG,Female,1,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.34,1158.41,1,No
5675-SJC,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.36,416.07,3,Yes
6308-SUB,Male,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.4,519.38,2,Yes
5282-TJB,Male,1,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.09,450.73,2,Yes
7337-XQP,Male,0,Yes,No,7,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.65,760.98,3,Yes
9207-NGU,Female,0,Yes,Yes,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.33,879.36,2,Yes
1926-KXA,Male,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,126.68,4297.95,4,Yes
6002-WUD,Female,0,No,Yes,2,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.23,180.32,4,Yes
4398-ZOR,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,51.75,2232.44,3,No
3654-QAK,Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,129.51,1043.97,3,No
